SquareFootage,Bedrooms,Bathrooms,Price
2328,3,2,452465
1512,2,1,310136
2393,3,1,463325
2579,5,2,500927
1589,3,4,388480
2481,5,1,481626
2206,3,2,427834
2411,3,2,468967
2948,4,4,597477
1877,2,2,398959
1623,6,1,355089
1555,6,4,399477
1592,1,4,365789
1961,4,4,437686
2170,5,2,451225
2138,5,3,479272
2413,1,3,458475
2006,4,3,447348
2726,4,2,515384
1867,2,1,360947
3360,6,4,672773
2312,4,4,507275
1571,4,2,374344
1464,5,3,371695
2241,2,1,415448
1888,2,3,394489
2357,4,4,479437
2236,6,1,458726
1963,4,1,415125
1576,1,4,360956
1242,4,4,341725
1776,6,3,439238
2428,3,1,482809
2107,6,4,494688
1377,5,3,364628
2086,3,1,388356
2192,6,3,490654
1558,2,3,350560
2076,5,4,462779
2029,3,3,440254
1428,4,3,355753
2178,3,2,429636
2280,3,1,430590
2541,4,3,527806
2526,6,1,513313
1311,6,3,334270
1531,5,4,397729
2257,1,2,419212
2256,6,4,513941
2257,4,3,459278
3926,4,4,739219
2285,5,2,478328
2567,2,4,513234
2477,6,4,555237
2325,4,3,471656
1842,1,4,395419
2379,1,1,446913
1613,4,3,374390
1881,4,1,391835
1757,4,4,407931
2040,4,2,427230
3157,2,4,580428
1066,4,1,269625
2343,5,3,483398
1193,5,3,329009
1764,2,3,372390
2544,3,3,500128
2032,2,4,432926
1461,4,2,342255
1642,3,1,343768
2339,3,2,481719
1634,1,2,327185
2108,5,3,460815
2022,6,2,443170
1674,2,2,334594
3071,6,4,658046
2316,6,4,538979
987,2,2,249796
2093,2,1,387844
1669,4,4,404155
2426,4,1,456981
1603,1,2,310103
1942,6,1,414030
2252,2,3,454120
2432,3,2,473791
1399,5,3,345765
1832,4,1,383974
1762,3,1,355049
1673,1,1,334637
2882,6,3,592291
2202,2,2,452103
1369,1,3,308169
2458,6,3,523313
3061,3,1,559601
2516,1,2,473295
1240,4,4,340775
1757,3,4,404789
2633,3,3,523812
1646,5,2,365550
2221,5,2,470689
2387,4,1,477493
1536,4,1,344222
1970,4,2,428818
379,1,3,151278
1487,5,2,355022
1873,3,2,390432
1376,2,4,327511
2816,2,2,521218
1284,1,1,271084
1779,2,2,379403
2065,1,4,438840
2720,4,1,504896
1282,6,1,324587
2581,5,3,505750
2005,4,4,454938
1509,1,3,339953
2231,3,2,440827
2099,3,4,459351
1699,4,4,395387
2034,2,2,402887
1807,6,4,439323
2056,3,2,415319
2331,1,3,476683
2793,2,2,530806
1381,1,3,331654
3066,4,4,616246
1023,2,4,279826
1924,3,4,432079
2294,6,3,504935
2140,3,1,418759
1688,5,3,396557
1895,4,3,417646
1753,2,2,368747
1705,5,4,394371
2424,1,1,430007
2178,4,1,431240
1653,6,1,389555
2449,3,2,495089
2153,1,2,416471
2406,1,2,440669
2314,1,3,464000
1585,1,4,358728
1719,4,3,399806
2373,5,1,495098
2305,4,4,529061
1989,6,1,419476
2058,6,4,475611
2638,3,2,509021
1704,6,2,405584
2273,2,2,440696
1898,3,3,415955
1891,2,1,361753
2549,3,3,511820
2412,5,4,532539
2406,6,4,533271
2652,6,3,558473
2010,3,3,410925
2340,2,1,433313
1844,4,3,396611
2162,2,3,442581
1934,6,1,424800
2048,5,4,466521
2297,2,3,465512
1590,1,2,336660
3046,2,1,536908
1496,2,2,316336
1392,3,1,300384
2579,3,3,490278
2395,4,1,459754
2312,1,1,424563
2314,6,4,528485
1993,4,1,395670
1551,1,2,327527
2037,2,3,414198
1661,1,3,337355
2487,5,2,507059
1926,2,4,415364
1587,1,3,356194
1839,1,4,411383
2206,6,2,469770
1718,6,4,429109
1588,3,2,334400
2121,1,4,434972
2122,4,4,476005
1746,5,1,373470
1764,3,2,375402
2116,2,1,408024
1275,4,3,339192
1296,2,3,295346
1640,4,4,406504
1893,3,1,388106
2155,2,3,439596
2737,4,3,542454
2428,6,3,503122
1920,2,3,404750
1990,4,1,389541
1498,5,1,341532
1990,6,2,452153
1855,6,3,428331
2161,3,3,460015
1586,5,2,361504
2259,6,3,497068
2766,5,3,561842
1945,1,3,403008
2200,2,4,475472
2345,5,3,485726
1799,4,2,399556
2112,3,4,467178
2006,1,3,420384
2048,3,4,447877
1613,1,3,334313
2012,4,2,417089
2248,5,4,499930
2725,5,1,538881
2479,1,4,509146
3076,5,4,631295
1616,4,3,386677
2436,5,2,495864
2091,2,1,397638
3094,5,3,598483
1595,1,3,364780
1580,1,2,327936
1700,5,1,363652
938,5,3,284917
1737,4,2,368194
1620,2,4,376092
2075,6,2,447389
2170,5,1,434748
2938,2,4,566451
2475,1,2,446309
1711,4,2,379597
1550,5,4,393051
2245,3,3,464044
1339,3,1,303674
2915,6,2,591560
2589,1,4,490776
1765,1,3,370568
1143,3,4,302205
2676,3,1,492159
1942,2,2,405564
2618,1,2,492885
1202,3,4,329022
1700,3,2,347960
2002,4,3,441382
2023,6,4,492193
1774,3,4,393035
2311,3,3,477762
1466,3,3,333116
1928,5,4,450125
2060,3,4,446318
2257,6,4,497898
2355,1,3,460902
1437,5,4,403053
1232,5,3,313914
2638,4,3,514641
2166,5,4,507643
1625,6,4,415742
2775,3,2,535943
2057,4,4,463276
2589,4,2,485481
2033,2,1,390243
3030,5,4,601406
2877,4,2,558302
1875,2,1,365947
2485,4,1,485648
2322,5,2,484776
2684,5,1,530829
1517,6,1,349786
2343,1,1,424409
2529,3,2,491699
1120,3,3,288572
1408,3,4,346103
980,1,3,258086
1865,1,3,386973
2358,2,3,460887
2751,3,1,514089
2037,2,3,417202
2814,2,1,512694
1309,4,3,319032
1148,3,3,303451
1972,1,4,389573
2192,2,4,455872
1983,3,1,404756
966,6,1,255051
1955,6,3,451043
1347,6,4,361155
2334,5,3,490963
2183,3,3,466687
1530,2,1,309144
1743,6,4,414664
1470,5,4,380564
1968,3,4,440675
2477,5,1,481696
1507,2,4,352613
2252,6,4,525655
1734,6,4,414091
1603,4,4,388462
1946,6,4,466385
1482,3,1,311173
1723,4,1,373216
1401,5,3,359223
2982,3,1,541617
2017,1,4,425679
1650,4,4,394852
2106,4,1,427769
1943,5,1,396909
1889,2,4,421897
2307,1,2,423682
2378,2,2,474961
1734,3,3,398508
1712,2,3,366228
1862,4,3,396878
849,1,4,232562
1242,3,4,327835
2683,3,3,530214
2822,4,3,564794
1875,2,2,372872
2288,3,4,477182
2155,3,2,439369
3539,3,4,666341
2559,6,3,531545
1936,1,2,378252
1522,4,3,372361
1196,3,1,278782
2101,1,3,430019
1621,6,3,402315
1288,1,1,276558
1676,5,1,363604
1459,3,1,312969
2843,5,4,575623
2440,6,4,541556
1996,5,3,450314
2739,6,3,559285
2038,1,4,422984
1569,3,1,328288
2761,6,3,558647
2269,1,2,436777
1481,2,4,364417
1904,3,2,386255
1562,2,4,377697
1308,6,3,358488
2463,2,2,484164
2954,6,1,553876
1300,4,2,299765
2281,2,4,477951
1674,2,3,369970
1756,5,3,406436
1703,3,3,382594
1568,2,1,331945
2024,5,4,462087
1584,6,4,404426
2135,1,4,437240
1974,1,3,388213
1880,3,3,398547
1546,2,4,365005
1711,4,1,363478
2377,4,4,509166
2250,2,3,456216
1511,1,2,313165
2049,1,4,428322
2375,5,1,483347
1165,6,1,308935
2271,5,2,457468
1668,4,3,390752
2285,5,2,475566
1618,6,3,416424
1097,2,3,288704
1186,6,2,328670
2024,5,1,427649
2129,6,1,424807
1547,3,2,333471
2319,4,3,470591
1169,1,4,297289
1966,5,3,442295
1394,6,1,342207
1674,3,1,345220
2023,1,4,429234
1569,5,3,370640
1807,2,2,372774
2503,4,4,536654
1711,1,1,342239
2417,1,4,489297
1435,3,1,317693
2264,4,4,496953
2720,4,4,551038
764,3,4,253118
1601,5,3,390679
2288,3,1,422828
1898,1,1,358890
2185,1,3,421863
1698,2,1,342560
2043,4,2,418484
1922,6,1,407876
2583,1,3,495745
2127,1,4,453825
2168,4,4,477959
1794,5,1,362474
1756,4,4,419996
1783,1,3,358475
2197,4,4,472193
1789,5,1,386959
2144,6,3,476794
3037,1,2,544114
2435,5,3,511719
1836,2,4,405130
2600,5,4,558801
1795,1,3,376197
980,4,2,290092
1495,5,2,348630
1064,4,1,246912
1824,1,4,395411
2009,4,1,413077
2838,1,4,541100
2163,1,4,456430
1890,5,4,455053
2414,6,2,484483
894,2,3,259727
2117,3,3,420845
2385,5,3,502995
1260,2,4,325144
2571,5,4,530711
2169,5,4,482959
1792,1,3,363789
2316,2,4,489474
3135,3,3,597951
2090,4,1,421123
2124,1,4,436333
1770,5,2,415649
1575,6,3,382139
2415,4,4,510732
1571,5,4,390597
2035,1,2,384698
1761,5,4,413459
2239,1,2,429907
2166,5,2,446570
2518,4,2,516082
1744,6,1,405135
1865,6,3,427420
1510,1,4,340354
1777,2,3,364603
2188,4,4,474391
2378,1,3,472340
1538,1,1,309527
2434,2,1,458322
2677,5,2,532077
2206,6,3,480280
2938,3,4,572264
1613,1,3,351113
1377,4,4,352368
1110,5,4,330295
2748,6,2,539858
2327,4,4,508672
1972,1,3,404391
2139,2,1,411458
1437,2,3,323223
3222,2,2,582389
2064,6,4,480674
2054,6,2,450439
2362,5,2,485506
2240,2,2,438757
2111,5,2,440411
1604,1,3,348287
2235,6,1,467903
2941,6,3,591166
2672,1,3,506610
2796,3,4,568206
1744,4,4,411757
1505,1,2,313412
1937,5,1,414920
2027,5,3,428110
2547,5,2,506490
1153,2,1,254343
2764,4,4,572063
1920,6,1,395867
1786,3,3,379930
1493,4,4,374792
1172,6,1,300537
2411,4,3,491069
2036,1,4,420841
1355,2,3,306384
1352,1,2,306687
1832,2,2,385256
2834,3,1,502716
1870,1,3,397290
1248,2,1,267312
1877,2,2,374495
1863,5,1,402628
651,1,1,166539
1972,2,2,412217
1884,5,2,419087
2348,5,1,452418
2924,5,3,591588
2563,1,3,486505
1865,6,1,393403
1446,6,1,340043
3286,3,2,594012
2029,4,4,448035
2006,5,3,453703
1987,1,3,397832
2099,2,1,386509
1927,2,2,379814
1713,4,3,386083
1726,1,4,361565
1983,2,2,384032
1728,4,2,371118
1643,6,1,364376
2053,5,4,470978
1872,6,1,403375
2751,4,3,562579
674,3,4,244542
2545,5,2,505361
2623,2,4,513926
963,6,4,315300
1828,4,3,404523
1814,1,1,331021
1296,1,2,278189
1611,2,4,373714
1444,5,4,393232
2876,6,3,607385
2467,4,4,529612
2635,3,2,484971
2360,6,3,508511
1435,5,3,347334
1737,3,2,366635
2244,4,2,469029
1388,1,2,293643
2356,1,4,463389
1879,1,4,385280
1812,1,1,360089
2355,2,3,469101
2222,5,3,485056
1819,4,2,400658
2579,5,1,491357
1459,2,1,299230
2307,1,3,465806
2296,5,3,502931
1845,6,3,433497
2163,2,3,453409
1374,4,3,351902
2462,5,1,501924
1907,6,3,446440
1738,3,4,386983
2524,5,4,534394
1647,2,4,392946
1295,3,4,332593
1221,1,4,293996
2303,3,4,479053
1359,1,2,284173
2877,1,2,523795
959,1,3,235222
2848,6,2,573790
2105,2,3,427602
1951,5,1,396433
1727,1,1,342428
2199,2,3,437889
1981,5,1,419498
2551,1,1,464227
2057,1,1,394704
2075,1,3,422822
1818,6,1,410301
1971,6,4,470471
2153,6,3,481553
1144,3,4,303432
1325,2,4,318744
2371,6,4,526498
2085,1,3,412455
1908,4,3,432568
2009,5,3,430157
2173,1,4,454925
1730,4,4,396365
1610,5,3,368456
2097,6,4,488990
1510,1,3,317852
2204,6,4,486092
1148,1,4,280621
2514,5,4,517672
2236,1,4,466776
2128,6,4,515520
2491,4,4,526656
2832,5,3,576562
2507,2,4,523054
1079,1,3,262517
1360,4,1,310175
1687,6,3,427008
2013,5,1,415490
2258,2,3,454246
1637,4,3,390367
2093,4,3,438340
1622,3,1,338593
1694,2,3,368441
1296,5,4,370046
1538,6,2,380966
1324,5,3,344470
1512,6,2,353909
2526,1,2,475675
1525,1,1,299119
3316,5,1,627920
2246,5,2,477244
2092,2,3,427918
1570,5,4,398269
2350,4,3,474383
1712,6,1,400636
2061,4,4,459267
3280,4,2,606891
1951,6,3,447673
2574,6,1,509701
1648,3,2,342477
1982,2,2,394936
2885,5,2,564287
1686,1,2,365598
2906,6,4,607911
2353,3,2,445906
1718,2,2,380062
2316,1,3,456076
2486,4,4,523071
2310,3,1,436368
1214,6,4,351045
1636,2,1,318041
1876,4,4,424753
1962,2,4,423938
2310,6,4,527068
2088,6,1,442463
1332,6,2,350172
2190,1,3,429983
2305,4,3,495116
2279,5,1,449606
2540,6,1,490735
2416,5,4,508841
2229,5,2,489024
1964,4,3,440299
1169,6,2,309899
2214,2,2,423975
2103,5,3,460118
2135,5,3,480953
1361,3,4,348217
1459,4,3,340480
2526,3,1,462528
1980,1,2,372320
2340,3,3,449815
2014,4,1,389807
2014,6,3,442201
2469,3,2,497504
1741,5,4,413633
2048,6,1,432013
1768,3,4,396851
1782,5,4,413167
1845,1,1,348093
2111,6,4,470916
1760,3,3,400846
2627,4,1,487857
1552,3,2,347636
1906,1,3,388931
1780,3,4,391697
2723,5,4,571431
2098,2,4,444700
2515,4,1,487005
1257,1,1,280581
2133,4,4,488707
2444,3,3,473132
2041,5,4,464122
2532,2,2,489930
1741,2,1,357027
2704,5,2,535575
3149,3,1,557113
1818,5,1,402824
1777,4,3,408358
2726,4,4,544210
2789,3,1,530694
1738,5,2,385511
1789,5,1,387842
1859,6,3,423892
1327,1,1,265027
1540,2,1,301377
1497,1,4,355577
1616,3,4,386045
1982,2,1,368140
2117,3,3,426748
2775,5,4,593824
1500,1,2,309671
2492,3,3,485717
1893,6,2,436575
1975,6,2,432016
2337,1,4,466552
1438,6,2,356817
2191,5,1,444754
2083,3,3,444766
2246,6,1,444103
2144,5,4,496455
3227,6,3,625803
1681,3,2,356695
1734,5,4,430961
1688,6,1,384377
1722,2,3,394917
1681,6,1,363112
2594,2,4,512905
2710,6,3,571201
1714,6,3,421313
1583,3,4,365766
2235,3,3,473029
1723,2,2,368345
2316,3,3,467263
2101,1,3,423466
1242,6,3,351130
2773,6,3,586790
2897,4,3,559765
1693,4,3,393635
1806,2,1,357212
2142,1,2,420859
2167,4,2,450821
2329,5,1,462850
3005,1,3,557016
1911,1,1,354160
1600,2,3,354455
1310,4,4,356339
1634,5,2,385263
1983,3,1,391682
2897,3,4,574954
1741,6,2,406445
2111,2,4,442629
1991,1,1,374659
2594,5,3,516953
3263,3,4,632194
1734,3,4,410124
1755,2,3,382948
2522,6,3,548328
2340,1,4,462995
2923,3,4,569767
2291,5,3,490734
1820,3,4,422989
2295,2,2,442949
2554,4,3,508945
2410,3,1,463747
2253,6,3,497954
2533,6,3,542266
2584,2,3,495643
2691,6,3,548094
2324,3,4,487821
1916,1,4,409396
2073,2,2,403662
2603,4,2,497067
1591,3,1,343351
2184,3,1,434583
1803,1,4,393825
2014,6,1,421798
2639,2,3,499393
2095,2,4,446613
2023,3,2,402936
1320,6,3,362905
2373,6,2,486432
2322,3,2,455910
3081,4,1,563856
1846,3,3,398302
2109,2,3,433981
2124,2,4,464360
2788,4,2,554029
1952,3,4,440879
2139,5,1,451278
2303,6,1,481518
2093,6,3,471221
1776,1,3,375156
2097,6,2,456931
2536,5,3,534351
1486,2,2,312140
2066,3,4,448695
1649,6,2,396220
2597,4,2,501945
1238,3,2,305403
1720,4,3,392626
2188,6,2,473297
2782,4,4,558654
1967,4,4,463025
1722,6,3,411952
2940,2,3,576404
1275,3,2,295107
900,4,4,284013
2220,2,2,426817
1748,6,1,373399
1489,3,3,350871
2354,3,3,474677
2121,6,1,428623
1717,2,2,377135
1359,1,2,299387
2436,2,1,463277
2325,2,1,418843
1950,5,3,448804
2923,4,1,536952
1464,4,4,377194
1237,2,1,269098
1654,4,1,349949
1977,2,2,388589
2121,6,1,443911
1879,2,2,386501
2176,3,2,430212
1374,1,4,316625
2721,3,2,521164
1958,6,1,427072
2558,1,2,468799
2171,2,3,445637
2228,2,3,451850
2284,4,3,461565
2223,4,2,445171
2321,3,3,470852
2664,2,1,482742
2098,3,2,432255
2354,6,1,471822
1955,1,3,411669
2720,2,2,495660
1661,4,4,395915
2900,5,4,593835
1979,2,3,435153
1284,3,4,323429
2064,6,4,480397
1659,4,1,354134
2420,1,4,494313
1673,1,2,336425
1776,1,4,392918
1055,4,3,300786
1773,6,4,444269
788,3,3,244036
1208,6,1,307024
2380,2,4,475404
2392,4,3,496821
2212,5,3,473343
1516,2,4,348073
1976,4,1,398528
1998,6,4,455301
1420,2,3,321901
2751,3,4,545664
2438,6,1,505282
1889,5,1,394907
2013,6,1,435045
2104,2,3,445653
979,5,2,267756
1876,3,4,426970
1659,2,3,355590
1499,5,3,365796
1859,6,1,401834
2898,1,2,525224
2320,2,4,487457
1714,5,3,396079
2286,6,3,501281
2699,3,3,529315
2462,1,4,470542
2029,3,2,423663
1676,4,3,385271
2349,6,2,488798
2196,4,2,441806
2447,3,3,489536
2317,5,4,522445
2524,4,3,517381
1732,3,4,396461
2658,2,2,502411
2098,1,4,418091
3037,4,1,559405
1655,2,3,373110
2867,4,4,584832
2098,1,2,412814
1674,6,3,409323
1758,2,1,337401
1839,4,3,400219
2212,1,1,395061
2261,3,4,482437
1713,6,3,412962
1987,5,4,475457
3071,6,4,631457
2863,6,1,574605
2218,6,4,509672
2019,5,1,420611
2060,3,2,425982
2306,4,2,457373
1488,6,2,360574
1871,5,1,382457
1165,4,1,284400
2199,3,2,437327
2323,6,3,492706
1758,4,2,360031
2786,3,1,498682
1387,2,3,327850
1267,5,4,346901
2112,5,1,436803
2523,5,4,522931
2841,2,3,530775
1770,1,3,352838
2539,6,3,550572
1980,5,1,416650
1913,4,1,386186
2441,5,4,512303
2326,3,1,443308
1211,2,3,277563
2738,6,2,556085
2690,1,3,505653
1687,5,2,397112
2197,2,1,419103
2247,6,2,472746
2130,5,4,454184
1724,4,1,381741
1664,6,1,371722
1987,5,2,433953
2586,5,3,532597
2271,2,4,473432
1814,4,1,368232
2385,3,1,442989
575,3,2,180171
2574,5,3,537741
1130,6,2,321195
1818,6,4,462758
1440,6,4,378049
1352,2,2,297931
2580,6,4,563329
1766,2,3,381889
2173,2,1,410893
1976,5,1,411243
2238,4,4,480170
2038,4,3,441719
1358,6,2,349144
2498,5,1,460213
1753,2,1,342820
1221,3,2,310025
1785,4,1,379715
2750,6,2,544648
2425,5,3,510609
1825,4,3,415147
1825,2,3,388614
1839,5,3,440905
3038,1,4,560135
2190,3,1,419838
2215,3,2,441788
2515,3,3,498500
2119,5,3,457120
1870,1,1,347102
1901,1,1,383256
1964,2,4,425172
1981,1,4,426740
2363,1,4,473939
2025,1,3,419032
2366,2,2,450387
1959,5,4,471693
2039,6,4,462399
1000,5,3,291617
2458,5,3,508771
2173,4,1,442699
2499,2,2,464948
551,5,2,208781
3044,6,2,596037
1930,5,2,417146
2554,5,1,481625
1480,1,1,293439
2306,3,4,493914
1473,3,3,340987
1688,3,2,367296
2957,5,3,596718
1904,1,4,415823
2108,2,3,438646
2435,2,4,504677
2247,3,2,452045
2075,5,2,434215
2182,6,3,485252
3201,2,4,605988
1971,4,2,416138
2100,6,2,474880
2525,2,3,512258
2552,6,3,524866
2593,5,2,514957
2319,2,4,478321
1428,5,4,376144
2816,1,4,541676
1426,2,1,313509
2151,2,4,443919
1622,6,2,386636
1967,3,3,423641
2164,6,2,476095
2160,6,3,485399
2210,5,2,464996
2806,1,3,541766
2226,1,3,448448
1877,3,3,415894
2482,5,3,536356
2594,3,1,477535
1386,3,1,310340
2298,5,4,514114
2350,3,2,458361
1851,6,4,452415
2687,2,2,501486
1924,5,1,392641
2062,4,2,431751
1913,5,3,433659
2007,1,3,400875
1451,2,3,319942
1279,6,3,352938
2797,6,2,547488
1576,2,3,355254
1504,4,4,374778
923,2,3,251777
1680,2,1,341976
1338,2,2,308866
2821,4,3,561108
2504,4,2,497446
1655,4,2,360687
3126,6,4,639103
2490,2,4,502910
1837,5,2,400263
750,5,1,231819
3145,1,2,572241
1305,5,3,328693
1177,3,1,283342
2511,5,2,511746
3219,4,1,588533
2692,6,3,565495
2281,3,2,434710
2297,2,3,471799
2426,4,1,456303
2379,5,4,521240
2140,6,1,449285
2052,2,2,415727
1968,1,1,373706
1623,4,1,363590
1859,3,2,410786
1153,4,2,298368
1950,3,2,402115
1505,3,1,325824
1448,1,2,308917
2089,3,3,440266
2696,2,4,536042
2459,3,3,488058
1214,6,1,304697
1505,3,2,335316
2470,6,1,486711
1508,3,3,360894
1887,4,3,402890
2275,3,1,449191
1515,4,2,345381
2052,6,2,435871
1332,4,2,329863
1699,5,1,377308
2159,1,1,398215
1203,1,1,274201
2220,6,2,483541
1990,6,4,466881
2276,1,2,431907
2111,3,2,445041
2682,5,4,570914
2062,6,3,448996
1785,5,3,431667
2061,1,3,428956
2271,1,4,464747
2024,1,4,418050
2020,4,2,422978
1649,6,2,373502
1668,4,4,394987
1298,3,4,324141
2874,2,1,533082
1378,4,2,326715
1653,5,3,367605
1640,4,4,398633
2447,5,2,500065
1852,5,3,425915
2623,4,4,558661
1663,6,2,383420
2139,4,1,431466
1582,1,3,342193
3072,5,2,593703
1406,3,1,302587
2154,2,2,428246
2316,4,3,481691
2206,1,4,454624
1907,2,4,418342
1935,3,2,398960
2021,4,2,425800
1926,1,1,364713
2481,1,4,495477
3105,4,2,581516
1721,5,3,401207
1315,4,2,302120
1955,1,4,404826
3289,6,2,616691
1598,3,1,327423
2819,3,2,546078
2838,3,2,528615
1723,1,4,397680
2284,4,1,439507
2814,4,4,559772
1810,4,1,375768
1898,5,4,447147
1709,5,3,390548
1492,4,3,358591
1675,5,3,377856
1388,5,2,339109
2017,4,2,408865
1615,4,3,381748
2116,1,2,400777
1222,4,1,290531
2165,6,3,481708
2416,4,2,474888
1003,4,4,278408
2187,6,2,469733
2613,4,2,506481
1395,6,1,333069
2836,2,1,519302
2209,2,1,423503
1647,3,1,329304
1972,4,4,449673
2279,5,3,482300
2038,6,3,459541
2269,6,3,495246
1539,2,4,369665
2084,6,2,470894
1293,2,4,317682
1944,1,3,406259
1548,5,2,362957
1632,6,4,435819
2618,5,2,528635
2545,2,3,503725
2304,6,4,511964
1453,1,3,314946
1841,3,2,368251
2606,4,3,527343
2070,5,3,461165
3159,4,3,630947
2196,4,3,468517
2096,4,2,436610
1845,3,1,377920
2066,4,1,425731
1923,3,3,423479
2354,2,2,439328
2478,2,1,439625
1607,1,3,353819
1334,6,2,338058
1081,5,1,278930
2253,1,3,439456
1448,5,3,363148
923,5,3,269145
2194,2,4,464261
3246,1,2,567723
1996,3,3,410069
2419,3,2,468802
2040,6,4,470947
1950,5,2,424526
2459,3,1,473311
1854,2,2,373615
2133,6,3,481592
2160,1,4,446803
1665,3,3,367321
2496,5,2,512026
1912,1,1,351024
1622,6,3,413744
2268,6,2,480676
1550,3,4,394385
2014,3,4,451511
1995,6,2,434151
2542,4,4,546438
2237,1,1,413524
1987,5,2,431634
2408,1,4,480871
2695,5,2,551034
2278,6,1,469851
2005,5,4,474943
1344,5,2,329290
1467,2,2,325908
1847,6,4,462217
1695,3,1,367986
1906,3,1,383729
2028,3,2,426922
2264,2,1,425695
1964,3,1,402844
2243,6,2,472094
2032,4,2,441404
1012,2,2,252561
1530,2,4,355217
1927,3,2,419437
1395,4,4,364872
2299,5,1,461718
2765,5,1,524589
2609,3,2,508713
1893,1,1,360631
2745,3,4,539227
2074,3,4,451319
1831,3,3,389600
1693,6,1,371664
1848,5,1,391603
1805,3,2,365125
2085,4,1,403814
2080,1,2,406751
2001,6,2,454685
2218,3,3,460389
2595,1,2,484889
2474,6,1,498429
1257,2,4,328722
723,1,4,227431
2467,5,4,552993
1316,5,2,334248
1887,5,2,413809
1414,1,4,326256
1099,6,3,314867
2270,3,4,481641
2379,3,3,477050
1711,4,3,379363
704,3,1,200514
1726,5,4,413457
2195,6,4,501774
1260,3,2,297077
2091,2,1,391635
1992,2,4,432656
2289,4,2,460970
2059,2,2,425437
1513,2,4,361818
2598,5,2,515364
1920,4,2,397487
1986,4,3,425455
1533,1,3,350184
1778,1,3,365522
1557,4,3,385099
1913,1,2,373685
2855,3,4,568818
1314,6,4,360744
1193,3,2,292177
2735,6,3,544535
1895,2,4,413874
1665,3,2,347843
2519,5,3,511482
1697,6,4,424329
2913,1,4,559945
2338,5,3,495015
1756,5,1,374972
3078,4,3,602329
1697,2,2,361769
2371,2,4,497639
2149,5,2,459991
2650,2,1,480873
2780,3,4,552283
2016,5,2,435452
1623,1,4,358376
2229,2,1,431466
1661,1,2,340294
3006,3,4,593581
2068,2,2,405975
1817,4,1,380106
2092,3,2,425332
1326,3,4,337903
